year,1,2,3,4,5,6,7,8,9,10,11,12
1885,14.9,12.7,15.9,21.3,25.3,27,27.1,26.7,25.9,24,20,17.6
1886,14.8,12,16.6,20.8,24.3,26.5,27,27.4,26.5,24.9,20.6,15.5
1887,14.8,13.3,16.3,20.6,23.8,27.6,27.5,27,27.7,24.4,20.7,17.5
1888,16.2,12.9,18,22.5,25.6,26.8,28.4,27.4,27.2,24.2,21.8,18.4
1889,14.8,14.3,17.7,20.7,25.6,27.8,28.6,27.2,26.9,26.1,20.4,17
1890,15,17.3,16.6,21.8,25.4,27.5,27.2,26.8,26.1,23.9,20.5,18.8
1891,17,14.9,16.2,19.7,24.4,26.3,27.3,27.3,27.3,26.3,21,17.6
1892,15.4,16.3,16.2,21.3,24.2,27,27.4,27,25.9,23.6,20.9,14.9
1893,13.1,13.1,16.6,21.2,24,27.3,26.7,27.3,26.6,24.1,20,16.8
1894,15.3,15.6,17.4,21.8,24.9,26.6,27.3,27.2,27.2,23.6,21.1,16.9
1895,13.6,15.7,17.3,22.4,25.1,27.3,27.8,27.4,26.7,23.8,19.8,17.3
1896,16.7,13.3,15.2,21.6,24.4,27.1,28.3,28,27.5,25.5,22.1,16.8
1897,17.3,12.3,17.4,20.2,26.2,27.5,27.8,27.1,27.3,24.9,21,15.9
1898,15.6,17.1,18,20.6,25.8,27.5,27.6,27.5,27.2,23.8,20.8,16.7
1899,15,15.3,18.3,21,25.3,26.5,28.3,27.2,26.8,23.8,19.9,19
1900,13.1,13.9,16.5,22.5,25.6,26.3,27.4,28.4,27.3,24.8,20.4,18
1901,18.3,12.7,17.6,22.1,25.1,27.5,27.9,27,26.9,25.2,20.8,16.4
1902,17.3,15.3,20.1,22.8,26.3,26.9,27.7,27.6,27.1,24.8,21.9,18.1
1903,14.6,14.7,19.1,22.4,24.1,27.8,27.6,27.1,25.9,24.5,19.6,16.2
1904,15.3,17,17.3,21.5,24.2,26.6,27.3,27.1,26.8,24.7,20.5,15.9
1905,17.9,12.9,14.9,19.9,25.6,27.3,28,27.3,26.7,24.4,20.7,18.5
1906,14.7,15.8,16.5,20.6,24.7,28,28.3,28.4,27.2,24.2,19.7,17.5
1907,16.3,14.8,17.7,20.6,24.6,26.6,28,27.7,27,26.1,22,16.6
1908,16.7,14.6,16.2,20.3,24.5,26.8,27.9,27.8,27.1,24.9,21.2,17.4
1909,15.9,15.8,17.8,21.8,23.8,27.8,27.9,28.2,27.9,25.4,21.4,17.5
1910,16.6,15.6,17.4,20.9,26.1,28,28,27.9,26.5,24.1,20.4,15.4
1911,14.9,15.7,18.6,21,24.2,28.3,27.8,27.7,27.3,23.5,20.6,17.9
1912,14,15.5,17.9,21.1,26.1,27.6,28.4,27.6,26.4,24.5,20.7,16.3
1913,15.1,15.8,16.5,21.8,25.1,27.4,28.2,27.6,26.9,24.5,21.1,16.1
1914,17.1,17.3,19.6,21.9,25.8,27.8,27.7,27.9,26.9,25.3,21.1,17.8
1915,15.6,17.5,18.3,23.7,24.1,27.6,28.5,28.6,27.1,26.1,21.6,17.4
1916,16,15.3,15.7,21.5,25.6,26.4,28.2,28.1,27,24.4,19.9,17.1
1917,13.2,15.2,16.5,20.8,23.8,27.7,27.3,27.8,27.8,25,20.1,15.1
1918,12.2,15.1,17.8,21.4,24.6,26.4,27.7,26.4,26.4,24.7,20.7,18.5
1919,16.4,14.4,19.3,22.5,24.8,28.1,27.7,28.2,26.7,23.5,20.1,16.1
1920,15,14.9,16.9,20.7,24.5,27.2,28.1,27.6,27.3,24.5,21.6,18.2
1921,14.9,15.4,17.7,22.1,25.1,27.2,27.6,27.9,26.7,24.3,21,18
1922,15.8,16.3,17.9,21.7,25.9,27.7,28.1,28,26.9,24.2,20.2,16.5
1923,15.6,14.9,18.5,22,25.4,27,27.8,27.3,27.3,24.4,22,17.9
1924,16.9,15.7,16.9,20.7,26.5,26.9,27.6,27.7,27.9,24.7,20.1,16.6
1925,13.8,13.3,17.6,18.5,25.2,27.3,28.1,28.1,27.4,24.1,22.2,17.2
1926,16.1,15.6,17.6,20.5,24.5,25.5,27.9,27.9,27.5,23.6,20.5,17
1927,15.4,14.7,15.6,19.6,24.2,27.6,27.7,27.8,26.3,23.8,21.7,18.6
1928,16.4,14.8,17.3,21.6,25.2,26.6,28.6,28,27.6,23.9,20.7,18.7
1929,16.9,14.9,18.3,21.8,25.6,28.1,27.6,27.3,27.4,24.7,19.8,18.2
1930,12.5,15.7,17.7,23.1,26.2,27.7,27.9,27.8,26.3,24.9,21.5,17.8
1931,16.3,16.3,17.6,21.6,25,27.4,28.2,28.2,27.3,23.5,21.3,17.4
1932,15.8,14,17,21.5,27.3,27.7,27.6,27.8,26.6,24.5,21.3,17
1933,13,15.6,17.5,22.1,25.8,28.1,28,28.8,27.7,24.8,20.6,18.2
1934,13.3,15.5,17.5,20.1,24.8,27.2,27.8,27,27.8,23.6,20.9,17.4
1935,15.5,16.1,18.9,21.3,25.2,27.9,27.7,27.9,25.8,25.4,21.8,15.8
1936,14.3,15.2,13.9,21.6,24.8,28.1,28.4,28,27.2,24.4,21.4,18.3
1937,16.4,16.2,18.2,22.1,26,27.5,28.1,27.9,27.8,25.3,21.6,18.4
1938,15.7,14.9,17.2,22.2,25.8,28.8,28,27.7,27.5,25.4,20.8,18.2
1939,15.8,17,18.1,20.2,24.4,27.5,27.9,27.6,27.2,25.4,21.8,16.6
1947,16.5,13.8,17.2,20.3,25,27,27.6,27.6,27,23.5,21.2,17.3
1948,15.1,16.7,19.8,22.3,25.9,27.4,27.9,28,27.1,24.7,19.2,19.2
1949,14.8,16.6,18.8,21.4,26,27.7,28.2,27.5,27.3,24.8,21,18.3
1950,17.9,15.4,18.7,20.7,24.7,26.3,28.4,27.6,27.8,25.5,21,15.5
1951,14.7,15.9,15.8,20.3,24.7,26.2,28.1,27.6,27.6,25.3,21,18.1
1952,16.4,16.2,18.4,22.1,26.9,27.9,28.3,27.5,26.8,24.8,22.2,15.6
1953,15.6,16.2,18.2,18.9,24.2,27.8,28.8,28.6,26.5,25.7,21.6,17.7
1954,17.1,15.9,16,21.4,26.7,28.2,28.7,28.1,27.4,24.4,21.5,16.1
1955,13.9,16.7,19.9,21.9,25.9,27.1,27.7,27.6,28.1,24.5,19.7,17.8
1956,14.1,15.7,17.8,23.3,25.4,27.9,28.6,27.9,27.9,24.7,19.2,16.2
1957,16,12.6,16.6,22,25,27.1,28.5,28.2,27,23.7,21.8,18.4
1958,15.1,14.5,19.7,23.8,26.4,27.4,28.5,27.7,27.4,24.1,20.7,18
1959,15.2,17.1,18.4,22.5,25.8,28.1,28,27.9,27,25.2,22,18.8
1960,16.2,17.4,21.2,21.6,25.3,27.3,28.9,28.1,27.4,24.8,21.8,16.9
1961,15.1,15.5,18.3,22,25.3,28.7,28.3,27.9,27,25.8,22.3,18.6
1962,14.1,16.6,18.2,20.5,26.7,27.5,29.1,29.2,27.5,25,20.5,17.7
1963,14.2,15.7,18.8,22.7,28.2,28.1,28,28.7,28.5,25,22.7,18.4
1964,16,14.3,17.7,24,25.8,27.6,29,28.1,27.4,25.9,21.1,17.3
1965,16.5,17.8,18.6,21.5,25.1,26.9,28.6,28.7,27.1,25.4,22.9,18
1966,17.7,18,20.6,23.5,25.7,27.2,28.4,28.9,28,25.8,23.1,18.7
1967,14.5,14.6,18.7,22.1,28,28.3,29.7,28.5,27.4,24.8,22.5,15.4
1968,16.4,11.7,17.7,21.4,26.2,27.4,29.3,28.6,27.8,24.9,22.5,21.3
1969,16.9,14.4,16.9,21.1,26.7,27.1,29,28.7,29,25.2,20.6,16.9
1970,14.9,17.7,15.8,21.2,25.8,28.4,29.3,28.3,27.3,24.7,21.5,18.2
1971,14.2,15.7,18.4,23.1,25.9,28.5,28.8,28.1,27.9,24.1,20.8,17.3
1972,15.7,14.8,19.5,21.5,25,27.7,28.8,27.5,27.7,25.6,22.4,17.8
1973,16,19.2,20.8,24,26.8,27.5,27.9,27.6,27.3,24.8,20.9,16.6
1974,16.1,14.3,17.7,22,26.6,27.4,28.7,28.7,27.6,25.3,20.9,17.7
1975,16,17.5,18.5,24.2,26.6,27.4,28.3,27.7,27.8,25.2,20.3,14.5
1976,15.6,17.6,18.2,21.1,25.9,27.4,28.1,27.9,26.8,24.9,19,17.3
1977,13.7,14,19.9,24.2,27.8,28.8,28.7,29,27.8,25.7,20.7,19.4
1978,15.9,16,18.1,21.9,25,28.4,28.9,28.2,27.9,24,20.9,18.6
1979,17.6,18.8,19.3,21.7,24.4,26.9,29.2,27.9,27.1,24.7,20.4,18.6
1980,16.6,14,19.8,22.1,24.6,28.4,28.7,28.8,27.3,25.5,22.3,18.1
1981,16.3,17.6,20.6,24.2,25.2,26.9,28.4,29.1,27.2,24.8,20.3,16.4
1982,16.9,15.9,19.2,20.9,25.3,27.2,28.6,28.3,27.5,25.8,22.3,16.7
1983,15,14.8,17.1,23.2,26,28.6,29.4,29,28.3,26.4,21.5,16.8
1984,14.1,14.5,18,21.4,24.6,27.9,29,28.2,27.3,25.3,22.3,17
1985,15.4,15.8,16.7,20.5,26.8,27.2,28.4,28,26.8,25.8,22.4,17.2
1986,15.9,14.7,17.6,22.6,25.9,28,28.5,29,27.8,25,20.5,17.7
1987,17.3,18.3,21.3,21.9,25,27.5,28.9,28.6,27.3,25.7,21.8,16.8
1988,17.9,16.3,16.8,20.8,26.6,28.6,29,27.8,27.6,24.4,19.9,17.7
1989,15.7,16.6,18.6,22,25.1,27.5,28.8,28.9,28.1,25.1,21.5,17.8
1990,15.9,16.2,18.5,21.4,24.6,27.9,29,29.5,27.8,25.1,22.1,18.8
1991,16.9,17.1,20.3,22.8,26.5,28.4,28.9,28.6,28.1,24.8,21,18.4
1992,15.7,15.4,18,21.9,24.8,27.2,28.2,29.4,28.9,24.6,20.4,19.2
1993,14.6,18,19.4,21.8,26,28.3,29.4,28.6,27.5,24.6,21.7,17.1
1994,17,17.3,17.8,24.7,27.4,28,27.9,27.9,27.1,24.9,22.9,19.8
1995,16.1,15.1,17.9,22.5,26,28.7,28,27.4,27.6,25.3,21.2,17.4
1996,17.8,14.9,19.7,20.4,25,28.8,29.2,28.5,27.7,26,23,18.3
1997,16.7,16.1,20.1,22.8,26.1,27.3,28.1,28.4,26.4,25.9,23.1,18.9
1998,16.8,17.2,19.1,24.8,26.8,28.3,29,29.5,27.8,26.1,23.2,19.1
1999,17.3,18.7,20.4,24.3,24.9,28.9,29.2,28.3,27.8,26.2,22.2,16.8
2000,17,15.4,19.2,23.1,26.1,28.3,28.8,28.5,27.7,26,21,18.9
2001,17.3,17.6,20.6,22.4,26.7,27.6,28.1,29.2,28.1,26.1,21.5,18.3
2002,17.3,18.2,21.5,24.6,27,28.8,28.9,28.4,27.2,25.1,21.5,18.2
2003,16.1,18.5,19,23.9,26.9,27.7,29.6,28.8,27.6,25.3,22.2,17.6
2004,15.8,17.2,19.1,22.9,26.3,28.6,28.4,28.4,27.6,24.9,22.7,19.1
2005,15.9,16.5,17.4,23.1,27,27.8,29.1,28,28.2,26.2,23,17
2006,16.4,17.7,18.5,23.9,25.8,28,29,28.3,26.6,26.4,23.3,18.2
2007,16.4,19.5,20.2,21.8,26.4,28.4,29.6,28,27.7,25.6,20.9,19.3
2008,15.9,13.3,20,23.1,25.3,26.7,28.4,28.4,29,26.5,21.9,18.4
2009,15.3,20.5,19.7,22,25.5,28.1,29.1,29.4,28.8,26.2,20.5,17.3
2010,16.8,17.9,20.2,21,25.6,27.1,29.2,28.8,28,24.8,21.2,18.1
2011,13.7,16.2,18,22.9,26,28.6,28.8,29.5,28,24.8,23,16.9
2012,15.1,15.8,19,23.9,27,28.1,28.8,29.5,28,25.6,22.2,17.8
2013,16.7,19.1,20.5,21.5,25.7,28.2,28,28.6,27.5,25.7,21.7,16.1
2014,16.3,15.5,18.7,22.6,26.4,29,29.8,29,29,26.2,22.6,16.3
2015,16.4,17.5,19.9,23.6,27.5,29.7,29.1,29.3,28.4,26,24,18.6
2016,16,15.5,17.5,23.6,26.7,29.4,29.8,28.4,27.9,26.8,22.3,19.6
2017,18.5,17,19.3,23.3,26,28.8,28.7,29.3,29,26.3,22.2,17.8
